coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,False,True,False,False,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,False,0,True,True,False,False,d37aa30adb6e4a80d8b66f7b93872c423ad061860f7d469ebe0a3dad508cdb01,0.7869119465256901,0
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,d30bed88c1058d2171217b1222a38a46647a46564e3f4678695f911aec4598eb,0.7924175370111536,0
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,True,0,False,False,False,False,d239c107eb75c0a53149e96d0019617d120ca9729d402c34308e00abeec98fd6,0.7890197839673975,0
False,False,True,True,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,d0d839be909ca87bba5d214ae8ef8c4a7ad85e2836f9411df2f955938e785a1a,0.7832834193668505,0
False,False,False,True,True,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,cebff1db145ffbb8829e6db8cf21c93e0d16a8f706b23846ff19e1f7d054b7ec,0.7917818196299312,0
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,True,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,cc9c9e898ca3a70db28379e9026f663bc6b434ddd1e09a93c149cb77c8ed89c5,0.7864149012397732,0
False,False,False,False,True,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,False,c1ec052630d42c875f8d3390ff8110679aca1bf8bd388815a8cb96d6604a8f64,0.7873199011620097,0
False,False,True,True,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,bf593122999fd428c179ffec196f63d59fecdcf4bf9e4b4668dc60736f58a794,0.7849736523262113,0
False,False,False,False,True,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,bf0cd53a2cd494432b98607e413c9dcc76b05ce794fd5e9e79857b681a7a8da9,0.7985097303164992,0
False,False,False,True,True,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,bdd4553e82d07c5d35b94b13ac6abc4b4302e5353ae639ca4c725c65c02717d1,0.7870197268374335,0
False,False,False,False,True,False,False,True,False,False,0,0,False,False,0,0,0,6,True,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,bcc6a0d5be4e3b221cd4691bb2c2a0d2abd2c50d938ffa0a87544e7b75cdb42f,0.7812486980907161,0
False,False,True,False,False,False,False,False,False,False,0,0,False,False,0,0,0,6,True,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,b4e38d777d75ad84dfc119e69b43af5122cab20f3d06718b50237097bdcd82be,0.7752238681705761,0
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,b113529b25ad5d523e71aa871814dd6488422ed4e99bcd12ac5e9d99114f7180,0.7836448222855044,0
False,False,True,False,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,a8a449776d4e99bd7983c8305e38373613f58187d9c8032064ca6447fe42e9d0,0.7759353506609427,0
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,a7afab3c55885659695981dd3fb7edee2b7259e67a3f2d4c0c6f57077e835144,0.7769429149333529,0
False,False,False,True,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,a00cd5ad1aaf5d8a08da69e5dddde2a6544b329b9aa5bb9399dae4294762eeac,0.7888379028752561,0
