coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,False,True,True,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,b377d46d7a77f9d45d458a4075f581863a928bc8cabae44fe0bf434a486cc2c6,0.8844656070950077,0
False,True,True,True,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,ac575e9a31eb72f745e2e5257217f4455d038e1b2f89b72bb4016f3cda09e0fa,0.922987931807462,0
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,a7b8f82ee5d06a45ac5806205170c0b6ca0986d5e62c88b70efff083ac47bc73,0.8723022535237648,0
False,True,True,False,False,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,False,a45d194b03abee14419786be0d0c3f14f942517f5aee250e63263e57114149d2,0.8777813672561752,0
False,True,False,True,True,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,a2eaec179fdc460cef0df0baa1e3610b2c7bc58309d98b7d3e4d2984ce5ea7ee,0.898198793012939,0
False,True,True,False,False,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,9a8c693b384e5351f6670c2977d50753dac6cdba0a6d6cf1bda1a152651ac000,0.90903398964779,0
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,9a4711469d2ccd032757c46e44370900cf85171132278cc7383e85b6d96a6941,0.8857313767350744,0
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,False,9996b0f1d3f92a2b6b18d4be340c099b36b18991405076abab9ad7b21104294b,0.8736009484767746,0
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,9990f669aafd42b4f673bd9474dc07b195251c54acc00bd299ea802c7294d56a,0.8765289232735733,0
False,True,False,True,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,942e86b7e792f18512bc9167e75356c4dd0396180762e191682120dd838a2efc,0.9138424035053274,0
