coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,coregistration/source_target/anat_on_func,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,False,True,True,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,True,False,f373c2e023ad8393a9aa5556ec2242e8e8a7ba4a5647eaa7aa7a80f55b1e94f1,0.773172599534004
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,True,False,f21f800078d2c7291437e02748ac5d83ba107635abd8d0362413fcf47d21a5c1,0.948859280844357
False,True,True,False,False,True,False,True,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,True,False,f1e74d87690b43479e650405df3b7e88fd5a029123ec063f01e2892084d6e895,0.9424081315792132
False,True,False,False,True,True,False,False,False,False,0,6,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,True,False,f1ddaf2bbbabc5094dbd2f38bd541be96c4cad8d02e595e454d0124bf1a44f0c,0.8895956398088422
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,f17ef68918388960724c2bfae73a079771aaf959311eae239fcaa21f4af4d2ba,0.952379388338212
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,True,False,f16d9fe0be02758f93babb75adea3d1ecb0129bc9e157f79ee54efbb3d04904c,0.9346276283799452
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,True,False,f0a6cf15ddcb46e8da3ed4abd95a3cbd1409d35c59a7af42273eb6e103ae5c2e,0.9277972562027704
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,False,False,False,True,0,True,True,False,False,False,False,False,0,False,False,False,True,False,efd854c97520d876d11dbbc60711b535a9ac916e712731e3436ebc8627ede84c,0.948000436571225
False,True,False,False,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,True,False,ee92640b6a7c4fa2d054cedcaa124cb62c2ebc8841976a01d19e036599d686b4,0.8917920427975963
False,False,True,True,False,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,True,False,ecbbe3ea45e4aeecd7ab9e5f7d3eb071effa3965f80d4b6a351c4313747b885f,0.8079301314131835
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,True,False,False,False,False,True,True,0,True,True,True,True,False,ec1b38841f063fb8fd3ad8c4699a593fa1388700745f47fc1be074c318b0976b,0.9555844907120012
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,True,False,eb67eeff5ddd1511a3330ead5560c800e32f360d48ad1940ea1c693f8c4ed347,0.9385249371085452
False,False,True,False,False,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,True,False,ea69476f961fd583c4e4c792880207e081ef524a6915efeedd0d542a4048ce43,0.8005061472225952
