coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,True,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,db9203de1608d145eeb0bf7ff409fc85da238a00f51116595ae3ca9d743ade66,0.9812978271609692,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,da8b1ea9e05f6a22b002baef15b0576535d7054c1ffa85dd58e4af07d76b3a58,0.9423613082918552,0
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,da5c82c47e4e920a05b950df524b3f676d61c4dc0cbeb5722adebbb37ec9f090,0.9432041164862924,0
False,True,True,False,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,d9d3ecf02e9ee292ab0cdca87255f962a7c7d3771a634afcefa5b4f2aeb70ff8,0.979165479102908,0
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,d91412cbaaef954c2dc322db7360a2fcce700fb883d42b237eabd8b863cf4887,0.9906175411684256,0
False,True,True,False,False,True,False,True,False,False,0,24,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,d8fbe76a93a5cd9e79153e071206d303432af453aab6a5c025af188a45681e25,0.9641003346312432,0
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,True,0,False,True,False,False,False,True,False,0,True,True,True,False,d760046a241d31861d871118b8035f3df1168383447e404b10e6ca775e38590d,0.9588491386359556,0
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,True,0,False,False,False,False,False,True,True,0,True,True,False,False,d449ff121225bfe4c05a7152dca6e91d8f8191f454b08890eda24e9f0dc16709,0.9828151505793652,0
False,True,False,True,True,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,d0ba71afad003e2e24fc3701f859bac71fdf7e44dc9725bb7979e559b8262f60,0.9398306085761436,0
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,cb3eeba645a0ab2d7954eaf19159069ee45ec9101e0e593b822803e2dc7505d4,0.9510862866061884,0
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,False,c862ce160c5978e23287bf8adb19708e44cd9bf580588bfc01a6be7dc7d5fe34,0.9709414969362858,0
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,c3c520e2c2781f0e10728b82df5d0e3f5d6c65bf592a12e9e2c2f9714ac64760,0.9336754954842668,0
False,True,False,False,True,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,False,c2f16c4ef6e5dd52af1c8b876f4a460273f0f4c902055672c5ff63275074ea4c,0.9653126958719728,0
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,c248f27e75e29d7560e6065313c46870cd698aeca0484a371b8f91e7cb705cda,0.9679882938609145,0
False,True,False,True,True,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,bd38bf68c4610266db4c0ba6041ca72fb8bf251ba4d76455b42b7ae84d8fd4a5,0.972878244449828,0
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,bc22f931ea06952b6f86099d02d90d4dbd14c43dbdc7839857567a8901f2ab15,0.9447563765452834,0
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,True,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,b75264c902872bca70b5eedb93e328ce2721c4ece1d061639b6c87decc4a011c,0.971969283153746,0
False,True,False,False,True,True,False,True,False,False,0,18,False,False,0,0,0,6,False,False,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,b6aae08414252bd66bbcbc88975b8d7fbfe55b618107c0f80941b8a4d5e97557,0.9781193175329412,0
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,b48df1cbdc36663965cde9a7f5d68f4d6976a50096c288aaa08d3bdd6d073f61,0.9620276770025812,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,b4849228e55a664c013986a6ee19386eaf13ae3b8b70fee8a5d688d48f30c4d1,0.9288551509138616,0
False,True,False,False,True,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,True,0,False,False,False,False,b31f3e99f37ea17cb9cccb2b499f7699fd73ecacb00dc6b53c32ed7b5cae1aca,0.9939588078497394,0
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,False,0,True,True,False,False,b141013f2ad32ecc0469e69560ef93ef297a6dfd1ed01d25c6d9b2ed11cbeff3,0.9688093686408018,0
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,b10ba27b41c72cecd805fe36c225741ff4fd50f1f9f734d027a7de9a13d74ad5,0.9942062483826576,0
False,True,False,False,True,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,afed5de919f819778b0f1b73b224496b6279a471feaf25029b88811cf25e7739,0.9323307825688656,0
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,af3b74ddb494cd8ec4278d8acba801ac4cf7f36dca5c39b5cd7892a73ca4cf99,0.966022617223564,0
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,False,False,True,0,False,True,False,False,True,False,False,0,False,False,False,False,ad56251c268422d5341551ccc1e027f2c3599e0959f27285135ddb10565a07da,0.9438757665844402,0
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,a967fb95c0c212e9f070c6b8fd9b82556f124450bbdb47e3f437e1f5ed9ab3c3,0.9325190082288904,0
False,True,True,False,False,True,False,True,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,False,False,False,False,True,True,False,0,True,True,True,False,a81f94290b1b4f571a07d9b91a109579ee7d03659cdf5216157b167156c79e37,0.945715262964615,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,a3157837cf0dca87636640cfdbaa172285a4f7472646dbc5ca30b14b00176c12,0.982238860056003,0
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,9f5fe8b5d28b2be578ebf622991e8cbd4906a24f2d54d57236946acbdd0a311e,0.9798929360026208,0
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,True,0,False,False,False,False,9dffa85ef61bb6d414ebfc4963c1baea8ea0f8bb96f240a1a4038ff6a93a1066,0.9811881578422718,0
False,True,True,False,False,True,False,True,False,False,0,24,False,False,0,0,0,6,False,False,True,True,False,True,0,False,False,False,False,True,True,False,0,True,True,False,False,9cad21f114e9adad0903d9351faa03c7d0ccd8da7ddb86f33dc5fa54cd048ac4,0.9688093686408018,0
False,True,True,True,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,9c6b62d807829c22b0706ca3f29f0870cfab38bd8483c919d9f3d7a34533c51b,0.9751695691935128,0
False,True,False,False,True,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,True,0,False,True,False,False,False,True,False,0,True,True,True,False,992ef0c0a10a75c6a75a89b437cada323a0558195b972891c9a4a45ab0da89fd,0.9582428102564362,0
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,96826c251a7d5c8adb5b00758392f8141b0800f7bef59aa63f1534a25714228c,0.9815057859885294,0
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,True,0,False,False,False,False,False,True,True,0,True,True,False,False,95722853b877609addb1a1a442d1aed28f8810113fc80e9e7b9bd1f718dec722,0.9827607172545294,0
False,True,True,True,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,952ae01c6065f7d618a92ea74ce7997f1ae21c5646ca5121597a4c3223940fcb,0.9730333726175864,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,True,True,0,False,False,False,False,False,True,True,0,True,True,True,False,947c8599854767a69927153bb06d8d92e363f28656b15ca25c6e7bf97c6f3b2c,0.9644874260516428,0
False,True,False,True,True,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,921e6ff8928b76679d7bfbd7969f4993bbbd835531a46ff5333bdb99e741568c,0.9699947646684144,0
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,920be9eda7ba0d79f9a8802c456b3c8d922f840cf8d52f6465588528451207b4,0.957747445281488,0
