coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,f17ef68918388960724c2bfae73a079771aaf959311eae239fcaa21f4af4d2ba,0.957295774184594
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,False,f16d9fe0be02758f93babb75adea3d1ecb0129bc9e157f79ee54efbb3d04904c,0.9450144372661358
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,f080510bd0108c3ab5123c80f7da9c4467d0b7fe7beefa014260fb9ab3ef794d,0.7153391737596256
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,f074f4391e33764e10b2bc4d1c2c23a51335f4166b2e59181e73d21be0f32f76,0.7097595786237663
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,ef9c96bb413750b89292cfa1af757fd95e86d595ac4039cab497b77310abdae6,0.8553455374627842
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,ef9434892761e0e4575ceaa4abb74bb5405a765027f6c29dbcd0bcd48e522718,0.8678851199994877
False,True,False,False,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,ee92640b6a7c4fa2d054cedcaa124cb62c2ebc8841976a01d19e036599d686b4,0.8793199156517738
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,ec79c4cb1f0fb47cd4964a018152a1c4e3309fcfd44650a6a97115935bf2024b,0.8453616154862978
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,ec64ba1265d8289706b5d96d13e0952c233384f2aa127ca9e61d0d4eb7950ed8,0.8369211651839077
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,ebf43b590b82b8c1b8558044ce4a355391ab0e2e4b8aceeb428ed4c1999d5adf,0.8407559920722867
